2023-10-04 09:37:07.286 [TestNG-PoolService-2] INFO  c.o.s.CucumberSpringConfiguration - Starting CucumberSpringConfiguration using Java 14.0.2 on DESKTOP-VKKNF8N with PID 8404 (C:\Users\Patri\OneDrive\Asztali gép\springboot\TestNG-java14-Spring\target\test-classes started by Patri in C:\Users\Patri\OneDrive\Asztali gép\springboot\TestNG-java14-Spring)
2023-10-04 09:37:07.288 [TestNG-PoolService-2] INFO  c.o.s.CucumberSpringConfiguration - No active profile set, falling back to 1 default profile: "default"
2023-10-04 09:37:10.682 [TestNG-PoolService-2] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 0 (http)
2023-10-04 09:37:10.703 [TestNG-PoolService-2] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-auto-1"]
2023-10-04 09:37:10.706 [TestNG-PoolService-2] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2023-10-04 09:37:10.707 [TestNG-PoolService-2] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.80]
2023-10-04 09:37:11.236 [TestNG-PoolService-2] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-10-04 09:37:11.237 [TestNG-PoolService-2] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 3433 ms
2023-10-04 09:37:15.239 [TestNG-PoolService-2] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 1 endpoint(s) beneath base path '/actuator'
2023-10-04 09:37:16.077 [TestNG-PoolService-2] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-auto-1"]
2023-10-04 09:37:16.244 [TestNG-PoolService-2] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 51138 (http) with context path ''
2023-10-04 09:37:16.320 [TestNG-PoolService-2] INFO  c.o.s.CucumberSpringConfiguration - Started CucumberSpringConfiguration in 9.718 seconds (JVM running for 15.478)
